gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.6054327,0.6054327,0.53521127,0.23341781,0.02
1,0.72743744,0.72743744,0.63733333,0.4049266,0.024499241
2,0.73279655,0.73279655,0.66445184,0.47663638,0.026486225
3,0.73279655,0.73279655,0.66445184,0.493542,0.02819714
4,0.81954914,0.81954914,0.7627119,0.5126221,0.03122942
5,0.81954914,0.81954914,0.7627119,0.5331905,0.035266854
6,0.83017224,0.83017224,0.75654453,0.5405239,0.038174868
7,0.8496211,0.8496211,0.7858048,0.5399308,0.040718675
8,0.8496211,0.8496211,0.7858048,0.5402819,0.041907046
9,0.8496211,0.8496211,0.7858048,0.57253635,0.04445795
10,0.8496211,0.8496211,0.7858048,0.5607618,0.047599077
11,0.8548491,0.8548491,0.7915633,0.5689337,0.04741205
12,0.8548491,0.8548491,0.7915633,0.5519177,0.04605519
13,0.8548491,0.8548491,0.7915633,0.5564602,0.04741192
14,0.8548491,0.8548491,0.7915633,0.55175704,0.046817154
15,0.8548491,0.8548491,0.7915633,0.5528709,0.046537686
16,0.8548491,0.8548491,0.7915633,0.5633541,0.04606422
17,0.8548491,0.8548491,0.7915633,0.5895384,0.044000525
18,0.8548491,0.8548491,0.7915633,0.57638884,0.043386314
19,0.8548491,0.8548491,0.7915633,0.5818473,0.042678837
20,0.8548491,0.8548491,0.7915633,0.56694597,0.04055075
21,0.8548491,0.8548491,0.7915633,0.57774824,0.041387524
22,0.8548491,0.8548491,0.7915633,0.5779787,0.042763628
23,0.8548491,0.8548491,0.7915633,0.57305986,0.043953594
24,0.8548491,0.8548491,0.7915633,0.5859831,0.044863362
25,0.8548491,0.8548491,0.7915633,0.58387256,0.042337764
26,0.8548491,0.8548491,0.7915633,0.57769114,0.03963459
27,0.8548491,0.8548491,0.7915633,0.58481723,0.03875532
28,0.8548491,0.8548491,0.7915633,0.5983826,0.04061361
29,0.8548491,0.8548491,0.7915633,0.59050107,0.041408207
30,0.8548491,0.8548491,0.7915633,0.5969738,0.039994337
31,0.8548491,0.8548491,0.7915633,0.5936658,0.04094636
32,0.8548491,0.8548491,0.7915633,0.5865253,0.039903715
33,0.8548491,0.8548491,0.7915633,0.57790005,0.04023758
34,0.8548491,0.8548491,0.7915633,0.5842201,0.042083286
35,0.8548491,0.8548491,0.7915633,0.5908612,0.04267576
36,0.8548491,0.8548491,0.7915633,0.5849933,0.04224602
37,0.8548491,0.8548491,0.7915633,0.59935343,0.042541828
38,0.8548491,0.8548491,0.7915633,0.58006704,0.04303357
39,0.8548491,0.8548491,0.7915633,0.60441333,0.042427592
40,0.8548491,0.8548491,0.7915633,0.5911895,0.04293128
41,0.8548491,0.8548491,0.7915633,0.5973993,0.039379347
42,0.8548491,0.8548491,0.7915633,0.5820509,0.040761113
43,0.8548491,0.8548491,0.7915633,0.58386004,0.039982688
44,0.8548491,0.8548491,0.7915633,0.59985137,0.038568195
45,0.8548491,0.8548491,0.7915633,0.5841163,0.040187728
46,0.8548491,0.8548491,0.7915633,0.59029776,0.04156823
47,0.8548491,0.8548491,0.7915633,0.57741064,0.043369606
48,0.8548491,0.8548491,0.7915633,0.5920682,0.0446292
49,0.8548491,0.8548491,0.7915633,0.58773035,0.04230684
50,0.8548491,0.8548491,0.7915633,0.5872438,0.041174375
51,0.8548491,0.8548491,0.7915633,0.561675,0.04195317
52,0.8548491,0.8548491,0.7915633,0.5871589,0.041906238
53,0.8548491,0.8548491,0.7915633,0.597536,0.043780237
54,0.8548491,0.8548491,0.7915633,0.57798225,0.04419511
55,0.8548491,0.8548491,0.7915633,0.5782854,0.04401156
56,0.8548491,0.8548491,0.7915633,0.56922174,0.04319469
57,0.8548491,0.8548491,0.7915633,0.55258393,0.044425704
58,0.8548491,0.8548491,0.7915633,0.55127156,0.046426877
59,0.8548491,0.8548491,0.7915633,0.552841,0.048443325
60,0.8548491,0.8548491,0.7915633,0.5627544,0.047083214
61,0.8548491,0.8548491,0.7915633,0.59419966,0.04603958
62,0.8548491,0.8548491,0.7915633,0.5612555,0.046547662
63,0.8548491,0.8548491,0.7915633,0.56995845,0.045771275
64,0.8548491,0.8548491,0.7915633,0.56103957,0.043764904
65,0.8548491,0.8548491,0.7915633,0.57552445,0.04193092
66,0.8548491,0.8548491,0.7915633,0.6005829,0.041817743
67,0.8548491,0.8548491,0.7915633,0.6014517,0.04075601
68,0.8548491,0.8548491,0.7915633,0.6019168,0.03996064
69,0.8548491,0.8548491,0.7915633,0.59123987,0.03949028
70,0.8548491,0.8548491,0.7915633,0.59441954,0.039111916
71,0.8548491,0.8548491,0.7915633,0.5706672,0.039484084
72,0.8548491,0.8548491,0.7915633,0.5971418,0.04287814
73,0.85579085,0.85579085,0.79693484,0.5737894,0.045182075
74,0.85579085,0.85579085,0.79693484,0.57981366,0.04503923
75,0.85579085,0.85579085,0.79693484,0.5851538,0.043092724
76,0.85579085,0.85579085,0.79693484,0.582829,0.043409836
77,0.889679,0.889679,0.8476312,0.5660326,0.047651984
78,0.889679,0.889679,0.8476312,0.57632875,0.048297185
79,0.889679,0.889679,0.8476312,0.566383,0.047790624
80,0.889679,0.889679,0.8476312,0.5758431,0.046814926
81,0.889679,0.889679,0.8476312,0.57542306,0.046251412
82,0.889679,0.889679,0.8476312,0.6032743,0.041233078
83,0.8950269,0.8950269,0.8546366,0.6170067,0.041610852
84,0.8950269,0.8950269,0.8546366,0.5960217,0.040192448
85,0.8950269,0.8950269,0.8546366,0.5788602,0.041905522
86,0.8950269,0.8950269,0.8546366,0.5849038,0.04019858
87,0.8950269,0.8950269,0.8546366,0.59650207,0.0378723
88,0.8950269,0.8950269,0.8546366,0.58304954,0.038386673
89,0.8950269,0.8950269,0.8546366,0.60789764,0.03774406
90,0.8950269,0.8950269,0.8546366,0.6126843,0.039799724
91,0.8950269,0.8950269,0.8546366,0.6124914,0.04023469
92,0.8950269,0.8950269,0.8546366,0.59751624,0.04116199
93,0.8950269,0.8950269,0.8546366,0.5793501,0.043760914
94,0.8950269,0.8950269,0.8546366,0.57425404,0.04704404
95,0.8950269,0.8950269,0.8546366,0.5634645,0.048684314
96,0.8950269,0.8950269,0.8546366,0.5663049,0.046829164
97,0.8950269,0.8950269,0.8546366,0.5757775,0.045932293
98,0.8950269,0.8950269,0.8546366,0.58714193,0.04779438
99,0.8950269,0.8950269,0.8546366,0.58457494,0.04537604
100,0.8950269,0.8950269,0.8546366,0.59455776,0.04533238
101,0.8950269,0.8950269,0.8546366,0.5898777,0.04365087
102,0.8950269,0.8950269,0.8546366,0.6032507,0.042194773
103,0.8950269,0.8950269,0.8546366,0.59504753,0.04175656
104,0.8950269,0.8950269,0.8546366,0.6149023,0.041573294
105,0.8950269,0.8950269,0.8546366,0.6304446,0.040828027
106,0.8950269,0.8950269,0.8546366,0.617002,0.03890782
107,0.8950269,0.8950269,0.8546366,0.6009672,0.039695296
