gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.62771225,0.5513445,0.47285464,0.25629988,0.02
1,0.6594652,0.56860554,0.47025496,0.43635085,0.02475102
2,0.67366886,0.60082656,0.51994497,0.53583825,0.027649654
3,0.67366886,0.60082656,0.51994497,0.5819456,0.030307855
4,0.684619,0.5914897,0.4942857,0.5929043,0.03306255
5,0.6940159,0.6067513,0.5168539,0.6063394,0.034410615
6,0.6948985,0.61205125,0.5276382,0.5978307,0.037178133
7,0.6948985,0.61205125,0.5276382,0.59688485,0.03931457
8,0.6948985,0.61205125,0.5276382,0.59329313,0.042542133
9,0.70249736,0.6169854,0.52440727,0.6000632,0.043844253
10,0.7102797,0.6297742,0.54068244,0.62405497,0.04358994
11,0.7169772,0.6369973,0.55330634,0.63209194,0.045637187
12,0.7169772,0.6369973,0.55330634,0.6230886,0.046260584
13,0.7169772,0.6369973,0.55330634,0.6476797,0.045449246
14,0.723698,0.6596417,0.5871833,0.64325905,0.04349668
15,0.7385297,0.66362256,0.583691,0.62387514,0.044103846
16,0.7385297,0.66362256,0.583691,0.63450426,0.043286998
17,0.7385297,0.66362256,0.583691,0.62420845,0.044030964
18,0.7385297,0.66362256,0.583691,0.634874,0.04738427
19,0.7385297,0.66362256,0.583691,0.6362487,0.04728893
20,0.7385297,0.66362256,0.583691,0.6418142,0.04757271
21,0.7385297,0.66362256,0.583691,0.6272449,0.045644805
22,0.7385297,0.66362256,0.583691,0.6319097,0.04559414
23,0.7385297,0.66362256,0.583691,0.6233103,0.04450477
24,0.7385297,0.66362256,0.583691,0.6440468,0.04434877
25,0.7385297,0.66362256,0.583691,0.63421655,0.046536434
26,0.7385297,0.66362256,0.583691,0.6247919,0.048232283
27,0.7385297,0.66362256,0.583691,0.63275796,0.04802114
28,0.7385297,0.66362256,0.583691,0.6104779,0.046613533
29,0.7385297,0.66362256,0.583691,0.62151325,0.047655355
30,0.7385297,0.66362256,0.583691,0.62954634,0.04751052
31,0.7521769,0.67845166,0.5961252,0.6189808,0.0496689
32,0.7521769,0.67845166,0.5961252,0.60699266,0.049511727
33,0.7521769,0.67845166,0.5961252,0.608536,0.05008115
34,0.7521769,0.67845166,0.5961252,0.6332937,0.0465487
35,0.7521769,0.67845166,0.5961252,0.631261,0.046917245
36,0.7521769,0.67845166,0.5961252,0.6302533,0.04765621
37,0.7521769,0.67845166,0.5961252,0.6258852,0.04864112
38,0.7521769,0.67845166,0.5961252,0.6159056,0.0509206
39,0.7521769,0.67845166,0.5961252,0.6188687,0.04865408
40,0.7521769,0.67845166,0.5961252,0.61192775,0.048304122
