gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5402822,0.5402822,0.4464555,0.22289345,0.02
1,0.60882765,0.60882765,0.5137881,0.38462856,0.0497
2,0.60882765,0.60882765,0.5137881,0.45376003,0.05
3,0.60882765,0.60882765,0.5137881,0.45913872,0.05
4,0.6218023,0.6218023,0.5479204,0.49131688,0.05
5,0.6218023,0.6218023,0.5479204,0.46952647,0.05
6,0.6458923,0.6458923,0.538163,0.4878466,0.05
7,0.68136615,0.68136615,0.61738,0.5000799,0.05
8,0.68136615,0.68136615,0.61738,0.4895156,0.05
9,0.68136615,0.68136615,0.61738,0.48803517,0.05
10,0.68136615,0.68136615,0.61738,0.50173354,0.05
11,0.68136615,0.68136615,0.61738,0.50389636,0.05
12,0.68136615,0.68136615,0.61738,0.5064525,0.05
13,0.68136615,0.68136615,0.61738,0.49924895,0.05
14,0.68136615,0.68136615,0.61738,0.5140672,0.05
15,0.70633245,0.70633245,0.6215539,0.49279726,0.05
16,0.70633245,0.70633245,0.6215539,0.4925082,0.05
17,0.70633245,0.70633245,0.6215539,0.51431435,0.05
18,0.70633245,0.70633245,0.6215539,0.51546645,0.05
19,0.70633245,0.70633245,0.6215539,0.4942543,0.05
20,0.70633245,0.70633245,0.6215539,0.5205494,0.05
21,0.70633245,0.70633245,0.6215539,0.5098891,0.05
22,0.70633245,0.70633245,0.6215539,0.49497125,0.05
23,0.70633245,0.70633245,0.6215539,0.51727426,0.05
24,0.70633245,0.70633245,0.6215539,0.50386286,0.05
25,0.70633245,0.70633245,0.6215539,0.51067895,0.05
26,0.70633245,0.70633245,0.6215539,0.51268154,0.05
27,0.7308425,0.7308425,0.64021885,0.5006526,0.05
28,0.7308425,0.7308425,0.64021885,0.51544833,0.05
29,0.7308425,0.7308425,0.64021885,0.5020686,0.05
30,0.7308425,0.7308425,0.64021885,0.5136042,0.05
31,0.7330951,0.7330951,0.65948856,0.51261836,0.05
32,0.7330951,0.7330951,0.65948856,0.5045972,0.05
33,0.7330951,0.7330951,0.65948856,0.5062096,0.05
34,0.7330951,0.7330951,0.65948856,0.5136763,0.05
35,0.7330951,0.7330951,0.65948856,0.50095934,0.05
36,0.7330951,0.7330951,0.65948856,0.51632375,0.05
37,0.7330951,0.7330951,0.65948856,0.5072516,0.05
38,0.7330951,0.7330951,0.65948856,0.51907337,0.05
39,0.7330951,0.7330951,0.65948856,0.5175888,0.05
40,0.7330951,0.7330951,0.65948856,0.5257103,0.05
41,0.7330951,0.7330951,0.65948856,0.53739315,0.05
42,0.7330951,0.7330951,0.65948856,0.525156,0.05
43,0.7330951,0.7330951,0.65948856,0.50700545,0.05
44,0.7330951,0.7330951,0.65948856,0.52582437,0.05
45,0.7330951,0.7330951,0.65948856,0.51899534,0.05
46,0.7330951,0.7330951,0.65948856,0.52122635,0.05
47,0.7330951,0.7330951,0.65948856,0.5320866,0.05
48,0.7330951,0.7330951,0.65948856,0.52645963,0.05
49,0.7330951,0.7330951,0.65948856,0.53564,0.05
50,0.7330951,0.7330951,0.65948856,0.5145118,0.05
51,0.7330951,0.7330951,0.65948856,0.51661223,0.05
52,0.7330951,0.7330951,0.65948856,0.5233559,0.05
53,0.7330951,0.7330951,0.65948856,0.5219496,0.05
54,0.7330951,0.7330951,0.65948856,0.5088641,0.05
55,0.7330951,0.7330951,0.65948856,0.519286,0.05
56,0.7330951,0.7330951,0.65948856,0.50566643,0.05
57,0.7330951,0.7330951,0.65948856,0.5361498,0.05
58,0.7330951,0.7330951,0.65948856,0.5274931,0.05
59,0.7330951,0.7330951,0.65948856,0.5264209,0.05
60,0.7330951,0.7330951,0.65948856,0.5155642,0.05
61,0.7330951,0.7330951,0.65948856,0.5260051,0.05
62,0.7330951,0.7330951,0.65948856,0.5022018,0.05
63,0.7330951,0.7330951,0.65948856,0.5338256,0.05
64,0.7330951,0.7330951,0.65948856,0.51766753,0.05
65,0.7330951,0.7330951,0.65948856,0.5082358,0.05
66,0.7330951,0.7330951,0.65948856,0.52015465,0.05
67,0.7330951,0.7330951,0.65948856,0.5324772,0.05
68,0.7330951,0.7330951,0.65948856,0.52510965,0.05
69,0.7330951,0.7330951,0.65948856,0.5273189,0.05
70,0.7330951,0.7330951,0.65948856,0.5028953,0.05
71,0.7330951,0.7330951,0.65948856,0.5102544,0.05
72,0.7330951,0.7330951,0.65948856,0.5177231,0.05
73,0.7330951,0.7330951,0.65948856,0.51699775,0.05
74,0.7330951,0.7330951,0.65948856,0.51413083,0.05
75,0.7330951,0.7330951,0.65948856,0.52720284,0.05
76,0.7330951,0.7330951,0.65948856,0.5142031,0.05
77,0.7330951,0.7330951,0.65948856,0.50694543,0.05
78,0.7330951,0.7330951,0.65948856,0.5211385,0.05
79,0.7330951,0.7330951,0.65948856,0.49904126,0.05
80,0.7330951,0.7330951,0.65948856,0.5274686,0.05
81,0.7330951,0.7330951,0.65948856,0.5245564,0.05
82,0.7330951,0.7330951,0.65948856,0.5336773,0.05
83,0.7402366,0.7402366,0.6721088,0.5501134,0.05
84,0.7402366,0.7402366,0.6721088,0.53942424,0.05
85,0.7402366,0.7402366,0.6721088,0.5212694,0.05
86,0.7402366,0.7402366,0.6721088,0.5432608,0.05
87,0.7402366,0.7402366,0.6721088,0.5296932,0.05
88,0.7402366,0.7402366,0.6721088,0.53155065,0.05
89,0.7402366,0.7402366,0.6721088,0.533901,0.05
90,0.74536115,0.74536115,0.6617647,0.5275995,0.05
91,0.74536115,0.74536115,0.6617647,0.5352355,0.05
92,0.74536115,0.74536115,0.6617647,0.5297883,0.05
93,0.74536115,0.74536115,0.6617647,0.54658943,0.05
94,0.885933,0.885933,0.8312413,0.53738385,0.05
95,0.885933,0.885933,0.8312413,0.5408646,0.05
96,0.885933,0.885933,0.8312413,0.5424506,0.05
97,0.885933,0.885933,0.8312413,0.5473259,0.05
98,0.885933,0.885933,0.8312413,0.5350752,0.05
99,0.885933,0.885933,0.8312413,0.5466725,0.05
100,0.885933,0.885933,0.8312413,0.53350073,0.05
101,0.885933,0.885933,0.8312413,0.5371736,0.05
102,0.885933,0.885933,0.8312413,0.5397828,0.05
103,0.90644896,0.90644896,0.8667564,0.55637056,0.05
104,0.90644896,0.90644896,0.8667564,0.5339133,0.05
105,0.90644896,0.90644896,0.8667564,0.53358,0.05
106,0.90644896,0.90644896,0.8667564,0.530045,0.05
107,0.90644896,0.90644896,0.8667564,0.5299479,0.05
108,0.90644896,0.90644896,0.8667564,0.53617734,0.05
109,0.90644896,0.90644896,0.8667564,0.5286449,0.05
110,0.90644896,0.90644896,0.8667564,0.5446541,0.05
111,0.90644896,0.90644896,0.8667564,0.56315446,0.05
112,0.90644896,0.90644896,0.8667564,0.5457481,0.05
113,0.90644896,0.90644896,0.8667564,0.55510163,0.05
114,0.90644896,0.90644896,0.8667564,0.556214,0.05
115,0.90644896,0.90644896,0.8667564,0.5411057,0.05
