gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5930569,0.5930569,0.5,0.22309333,0.02
1,0.5930569,0.5930569,0.5,0.26899633,0.02447508
2,0.5930569,0.5930569,0.5,0.3487372,0.027932182
3,0.60739684,0.60739684,0.53859967,0.38405898,0.031632844
4,0.7687551,0.7687551,0.6879607,0.41405594,0.034079447
5,0.7687551,0.7687551,0.6879607,0.43786815,0.037758987
6,0.7687551,0.7687551,0.6879607,0.44091496,0.040249247
7,0.7687551,0.7687551,0.6879607,0.42822275,0.044437185
8,0.77128464,0.77128464,0.6963658,0.4546546,0.046898887
9,0.77128464,0.77128464,0.6963658,0.45384243,0.048263464
10,0.77128464,0.77128464,0.6963658,0.4482535,0.050156705
11,0.77128464,0.77128464,0.6963658,0.43618503,0.05127577
12,0.77128464,0.77128464,0.6963658,0.45693856,0.052984912
13,0.77128464,0.77128464,0.6963658,0.46747085,0.054386593
14,0.77128464,0.77128464,0.6963658,0.46000075,0.053523306
15,0.77128464,0.77128464,0.6963658,0.44755134,0.056860752
16,0.77128464,0.77128464,0.6963658,0.44905135,0.05411802
17,0.77128464,0.77128464,0.6963658,0.45645007,0.05274935
18,0.77128464,0.77128464,0.6963658,0.46881238,0.05278005
19,0.77128464,0.77128464,0.6963658,0.48096722,0.05197375
20,0.77128464,0.77128464,0.6963658,0.46613854,0.05289122
21,0.79335654,0.79335654,0.72324723,0.47002184,0.049963564
22,0.79335654,0.79335654,0.72324723,0.47791782,0.04912663
23,0.79335654,0.79335654,0.72324723,0.4753169,0.048560724
24,0.79335654,0.79335654,0.72324723,0.47730842,0.051240493
25,0.79335654,0.79335654,0.72324723,0.48002055,0.05353536
26,0.79335654,0.79335654,0.72324723,0.48830765,0.05408106
27,0.79335654,0.79335654,0.72324723,0.46751454,0.05518198
28,0.79335654,0.79335654,0.72324723,0.48171243,0.053896073
29,0.79335654,0.79335654,0.72324723,0.49251106,0.05194816
30,0.79335654,0.79335654,0.72324723,0.49834296,0.054110114
31,0.79335654,0.79335654,0.72324723,0.48858455,0.05599059
32,0.79335654,0.79335654,0.72324723,0.47545025,0.055875942
33,0.79335654,0.79335654,0.72324723,0.48090917,0.055847872
34,0.79335654,0.79335654,0.72324723,0.49926946,0.05435625
35,0.79335654,0.79335654,0.72324723,0.49293503,0.054716036
36,0.79335654,0.79335654,0.72324723,0.4890731,0.054094415
37,0.79335654,0.79335654,0.72324723,0.49466884,0.051822297
38,0.79335654,0.79335654,0.72324723,0.49879318,0.052260146
39,0.79335654,0.79335654,0.72324723,0.49482068,0.050420936
40,0.79335654,0.79335654,0.72324723,0.48265326,0.049635183
41,0.79335654,0.79335654,0.72324723,0.46474618,0.051436458
42,0.79335654,0.79335654,0.72324723,0.48633006,0.05176238
43,0.79335654,0.79335654,0.72324723,0.47111282,0.052755866
44,0.79335654,0.79335654,0.72324723,0.48549056,0.05073441
45,0.79335654,0.79335654,0.72324723,0.48860064,0.052053697
46,0.79335654,0.79335654,0.72324723,0.48581013,0.054367755
47,0.79335654,0.79335654,0.72324723,0.48808482,0.056960363
48,0.79335654,0.79335654,0.72324723,0.4820269,0.056015495
49,0.79335654,0.79335654,0.72324723,0.47307596,0.05506302
50,0.79335654,0.79335654,0.72324723,0.49679977,0.053332
51,0.79335654,0.79335654,0.72324723,0.5100558,0.05334903
52,0.79335654,0.79335654,0.72324723,0.48807707,0.054246113
53,0.79335654,0.79335654,0.72324723,0.48525298,0.055368327
54,0.79335654,0.79335654,0.72324723,0.49776986,0.05874486
55,0.79335654,0.79335654,0.72324723,0.49842462,0.059760604
56,0.79335654,0.79335654,0.72324723,0.4969861,0.0584681
57,0.79335654,0.79335654,0.72324723,0.48613384,0.058430806
58,0.79335654,0.79335654,0.72324723,0.5025452,0.05789795
59,0.79335654,0.79335654,0.72324723,0.5008271,0.058749024
60,0.79335654,0.79335654,0.72324723,0.5017841,0.059984054
61,0.79335654,0.79335654,0.72324723,0.5026446,0.06100914
62,0.79335654,0.79335654,0.72324723,0.4844838,0.06034141
63,0.79335654,0.79335654,0.72324723,0.48670468,0.058374885
64,0.79335654,0.79335654,0.72324723,0.5045359,0.057560004
65,0.79335654,0.79335654,0.72324723,0.499692,0.0586729
66,0.79335654,0.79335654,0.72324723,0.4925999,0.056536682
67,0.79335654,0.79335654,0.72324723,0.4918409,0.05617433
68,0.79335654,0.79335654,0.72324723,0.49884853,0.05563057
69,0.79335654,0.79335654,0.72324723,0.5117291,0.055057023
70,0.79335654,0.79335654,0.72324723,0.50447226,0.05376649
71,0.79335654,0.79335654,0.72324723,0.50656784,0.054496758
72,0.79335654,0.79335654,0.72324723,0.49865064,0.05527588
73,0.79335654,0.79335654,0.72324723,0.49776796,0.05508004
74,0.79335654,0.79335654,0.72324723,0.50324434,0.054378096
75,0.79335654,0.79335654,0.72324723,0.5123777,0.05292129
76,0.79335654,0.79335654,0.72324723,0.50656706,0.052796286
77,0.79335654,0.79335654,0.72324723,0.51852816,0.054206032
78,0.79335654,0.79335654,0.72324723,0.5158616,0.05476839
79,0.79335654,0.79335654,0.72324723,0.5023543,0.05248635
80,0.79335654,0.79335654,0.72324723,0.5162351,0.051188134
81,0.79335654,0.79335654,0.72324723,0.5078323,0.052896887
82,0.79335654,0.79335654,0.72324723,0.4943988,0.05321255
83,0.79335654,0.79335654,0.72324723,0.49593368,0.052457996
84,0.79335654,0.79335654,0.72324723,0.47033995,0.0547673
85,0.79335654,0.79335654,0.72324723,0.4901651,0.054993935
86,0.79335654,0.79335654,0.72324723,0.49078262,0.054510187
87,0.79335654,0.79335654,0.72324723,0.45934623,0.055771835
88,0.79335654,0.79335654,0.72324723,0.4562913,0.056385443
89,0.806925,0.806925,0.7161198,0.4672673,0.05961049
90,0.806925,0.806925,0.7161198,0.48369503,0.058693077
91,0.806925,0.806925,0.7161198,0.47721636,0.057816826
92,0.806925,0.806925,0.7161198,0.47599986,0.055985566
93,0.806925,0.806925,0.7161198,0.47721386,0.05608638
94,0.806925,0.806925,0.7161198,0.4827878,0.057981756
95,0.806925,0.806925,0.7161198,0.49390927,0.0545242
96,0.806925,0.806925,0.7161198,0.48829445,0.053203262
97,0.806925,0.806925,0.7161198,0.49675786,0.05547204
98,0.806925,0.806925,0.7161198,0.48313197,0.053693958
99,0.806925,0.806925,0.7161198,0.49630955,0.052482598
100,0.806925,0.806925,0.7161198,0.49582508,0.053605933
101,0.806925,0.806925,0.7161198,0.48984468,0.0536654
102,0.806925,0.806925,0.7161198,0.47497708,0.05500727
103,0.806925,0.806925,0.7161198,0.4881998,0.053654622
104,0.806925,0.806925,0.7161198,0.47637522,0.053532746
105,0.806925,0.806925,0.7161198,0.49122792,0.052964933
106,0.806925,0.806925,0.7161198,0.49313137,0.051862244
107,0.806925,0.806925,0.7161198,0.5106516,0.051353615
108,0.806925,0.806925,0.7161198,0.50170845,0.05143734
109,0.806925,0.806925,0.7161198,0.4970349,0.054731358
110,0.806925,0.806925,0.7161198,0.4868709,0.054921035
111,0.806925,0.806925,0.7161198,0.49470738,0.055660825
112,0.806925,0.806925,0.7161198,0.4977483,0.05593114
113,0.806925,0.806925,0.7161198,0.48197675,0.055671047
114,0.806925,0.806925,0.7161198,0.49294958,0.05475595
