gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.5513445,0.5513445,0.47285464,0.20878163,0.02
1,0.6531546,0.6531546,0.5496183,0.31761163,0.02475102
2,0.66428316,0.66428316,0.5660377,0.366336,0.02869832
3,0.6968558,0.6968558,0.6138614,0.42451876,0.030858627
4,0.6968558,0.6968558,0.6138614,0.43783623,0.034408215
5,0.6968558,0.6968558,0.6138614,0.4423959,0.03734585
6,0.6968558,0.6968558,0.6138614,0.43381095,0.041059557
7,0.6968558,0.6968558,0.6138614,0.42416438,0.04402717
8,0.72634596,0.72634596,0.64373463,0.42838106,0.048701547
9,0.72634596,0.72634596,0.64373463,0.4461664,0.05275392
10,0.72634596,0.72634596,0.64373463,0.4390444,0.05194392
11,0.72634596,0.72634596,0.64373463,0.4444591,0.052216627
12,0.72634596,0.72634596,0.64373463,0.43758643,0.051527426
13,0.72634596,0.72634596,0.64373463,0.4479179,0.051807478
14,0.72634596,0.72634596,0.64373463,0.45317116,0.051766746
15,0.72634596,0.72634596,0.64373463,0.4480952,0.05281866
16,0.72634596,0.72634596,0.64373463,0.44420242,0.05379644
17,0.72634596,0.72634596,0.64373463,0.42309025,0.05593159
18,0.72634596,0.72634596,0.64373463,0.43294114,0.057535898
19,0.74214554,0.74214554,0.67277485,0.4402925,0.057790358
20,0.74214554,0.74214554,0.67277485,0.46391776,0.057663
21,0.74214554,0.74214554,0.67277485,0.44953346,0.056699675
22,0.74214554,0.74214554,0.67277485,0.45744988,0.056622177
23,0.74214554,0.74214554,0.67277485,0.46140793,0.054171793
24,0.74214554,0.74214554,0.67277485,0.45604655,0.054604657
25,0.74214554,0.74214554,0.67277485,0.47278455,0.058459397
26,0.74214554,0.74214554,0.67277485,0.46643698,0.058537856
27,0.74214554,0.74214554,0.67277485,0.47207502,0.056944955
28,0.74214554,0.74214554,0.67277485,0.4496766,0.057156794
29,0.74214554,0.74214554,0.67277485,0.44015658,0.054703463
30,0.74214554,0.74214554,0.67277485,0.45388946,0.053538278
31,0.74214554,0.74214554,0.67277485,0.44826317,0.055039465
32,0.74214554,0.74214554,0.67277485,0.41632542,0.05606296
33,0.74214554,0.74214554,0.67277485,0.42203036,0.05546787
34,0.74214554,0.74214554,0.67277485,0.43880108,0.0536584
35,0.74214554,0.74214554,0.67277485,0.42354164,0.054239437
36,0.74214554,0.74214554,0.67277485,0.4482299,0.05438442
37,0.74214554,0.74214554,0.67277485,0.4544804,0.053528097
38,0.74214554,0.74214554,0.67277485,0.44681767,0.055977702
39,0.74214554,0.74214554,0.67277485,0.4311812,0.05255845
40,0.7821123,0.7821123,0.72067714,0.45356235,0.05099234
41,0.7821123,0.7821123,0.72067714,0.45594966,0.051296573
42,0.7821123,0.7821123,0.72067714,0.46444944,0.05083151
43,0.7821123,0.7821123,0.72067714,0.46281037,0.053334422
44,0.7821123,0.7821123,0.72067714,0.45120594,0.053515807
45,0.7821123,0.7821123,0.72067714,0.46741623,0.05320023
46,0.7821123,0.7821123,0.72067714,0.4626583,0.05370715
47,0.7821123,0.7821123,0.72067714,0.45047924,0.05190262
48,0.7821123,0.7821123,0.72067714,0.46172702,0.050070114
49,0.7821123,0.7821123,0.72067714,0.4754813,0.050421726
50,0.7821123,0.7821123,0.72067714,0.45516735,0.05110406
51,0.7821123,0.7821123,0.72067714,0.47336796,0.047958046
52,0.7821123,0.7821123,0.72067714,0.4618875,0.04997995
53,0.7821123,0.7821123,0.72067714,0.4758312,0.050175432
54,0.7821123,0.7821123,0.72067714,0.466927,0.05055476
55,0.7821123,0.7821123,0.72067714,0.45771563,0.051644005
56,0.7821123,0.7821123,0.72067714,0.46136165,0.051172648
57,0.7821123,0.7821123,0.72067714,0.4661907,0.05134641
58,0.7821123,0.7821123,0.72067714,0.46750775,0.052890204
59,0.7821123,0.7821123,0.72067714,0.4400646,0.054924674
60,0.7821123,0.7821123,0.72067714,0.45468313,0.05560352
61,0.7821123,0.7821123,0.72067714,0.467391,0.055615384
62,0.8258366,0.8258366,0.74967575,0.4634868,0.055916347
63,0.8258366,0.8258366,0.74967575,0.48210067,0.056058705
64,0.8258366,0.8258366,0.74967575,0.46574032,0.05677693
65,0.8258366,0.8258366,0.74967575,0.47021553,0.057623208
66,0.8258366,0.8258366,0.74967575,0.44925004,0.057601497
67,0.8258366,0.8258366,0.74967575,0.44563127,0.05781022
68,0.8258366,0.8258366,0.74967575,0.45061085,0.05763296
69,0.8258366,0.8258366,0.74967575,0.43572217,0.058394868
70,0.8258366,0.8258366,0.74967575,0.44352773,0.056609433
71,0.8258366,0.8258366,0.74967575,0.4362597,0.060421184
72,0.8258366,0.8258366,0.74967575,0.41967803,0.061080154
73,0.8258366,0.8258366,0.74967575,0.42486313,0.059746
74,0.8258366,0.8258366,0.74967575,0.454625,0.061222076
75,0.8258366,0.8258366,0.74967575,0.45469916,0.05963348
