gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.8730176,0.56959176,0.47634584,0.7033594,0.02
1,0.87377757,0.61580235,0.51872396,0.82203025,0.024750078
2,0.8751141,0.5492321,0.4779661,0.8458066,0.029353585
3,0.8751141,0.5492321,0.4779661,0.84759766,0.0317549
4,0.875397,0.49155685,0.4256881,0.85237366,0.033916015
5,0.87738603,0.5596107,0.49657536,0.85542893,0.036984526
6,0.8792962,0.68547803,0.59280574,0.861093,0.039724592
7,0.8870672,0.6501886,0.579288,0.85539985,0.03889849
8,0.8870672,0.6501886,0.579288,0.85687375,0.041545812
9,0.8870672,0.6501886,0.579288,0.8494317,0.043927398
10,0.8870672,0.6501886,0.579288,0.85778475,0.046567436
11,0.8870672,0.6501886,0.579288,0.8587537,0.048012704
12,0.8870672,0.6501886,0.579288,0.8611766,0.046004355
13,0.8870672,0.6501886,0.579288,0.86129355,0.04761462
14,0.8870672,0.6501886,0.579288,0.86657166,0.046662793
15,0.8870672,0.6501886,0.579288,0.8685068,0.04580444
16,0.8870672,0.6501886,0.579288,0.8702121,0.041618645
17,0.8870672,0.6501886,0.579288,0.8673515,0.040863607
18,0.8870672,0.6501886,0.579288,0.865605,0.044576555
19,0.8870672,0.6501886,0.579288,0.8683709,0.045258477
20,0.8870672,0.6501886,0.579288,0.8656866,0.04532362
21,0.8870672,0.6501886,0.579288,0.8668261,0.04319802
22,0.8870672,0.6501886,0.579288,0.8691731,0.044200987
23,0.8870672,0.6501886,0.579288,0.8741051,0.043098643
24,0.8870672,0.6501886,0.579288,0.8716085,0.04454534
25,0.8870672,0.6501886,0.579288,0.8708385,0.04421271
26,0.8870672,0.6501886,0.579288,0.87158257,0.04331972
27,0.8870672,0.6501886,0.579288,0.87210464,0.04414167
28,0.8870672,0.6501886,0.579288,0.8709448,0.045452885
29,0.8870672,0.6501886,0.579288,0.8706092,0.048035484
30,0.8870672,0.6501886,0.579288,0.8709455,0.046992227
31,0.8870672,0.6501886,0.579288,0.87248063,0.045861404
32,0.8870672,0.6501886,0.579288,0.86964995,0.045430027
33,0.8870672,0.6501886,0.579288,0.87083626,0.047210857
34,0.8870672,0.6501886,0.579288,0.8689654,0.042388994
35,0.8870672,0.6501886,0.579288,0.8717119,0.0415184
36,0.8870672,0.6501886,0.579288,0.8742563,0.03932927
37,0.89346755,0.7582807,0.6799431,0.8704501,0.041197877
38,0.89346755,0.7582807,0.6799431,0.8705411,0.041382864
39,0.89346755,0.7582807,0.6799431,0.8719193,0.037783094
40,0.89346755,0.7582807,0.6799431,0.8744409,0.039364424
41,0.89346755,0.7582807,0.6799431,0.8704794,0.0394822
42,0.89346755,0.7582807,0.6799431,0.87085885,0.042956974
43,0.89346755,0.7582807,0.6799431,0.87166816,0.042693425
44,0.89346755,0.7582807,0.6799431,0.8679756,0.04391443
45,0.89346755,0.7582807,0.6799431,0.8686682,0.043289278
46,0.89346755,0.7582807,0.6799431,0.8712049,0.045418646
47,0.89346755,0.7582807,0.6799431,0.8717672,0.045816742
48,0.89346755,0.7582807,0.6799431,0.87015134,0.04552973
49,0.89346755,0.7582807,0.6799431,0.8729942,0.046724062
50,0.89346755,0.7582807,0.6799431,0.87242174,0.042720806
51,0.89346755,0.7582807,0.6799431,0.87021226,0.042505898
52,0.89346755,0.7582807,0.6799431,0.87008977,0.0444245
53,0.89346755,0.7582807,0.6799431,0.8707697,0.044272106
54,0.89346755,0.7582807,0.6799431,0.8703386,0.04466069
55,0.89346755,0.7582807,0.6799431,0.87016124,0.044801887
56,0.89346755,0.7582807,0.6799431,0.87063617,0.0410599
57,0.89346755,0.7582807,0.6799431,0.87233007,0.043658856
58,0.89346755,0.7582807,0.6799431,0.86809325,0.039598327
59,0.89346755,0.7582807,0.6799431,0.8726671,0.04035602
60,0.89346755,0.7582807,0.6799431,0.86985445,0.042301357
61,0.89346755,0.7582807,0.6799431,0.8697498,0.04597197
62,0.89346755,0.7582807,0.6799431,0.8704271,0.04438338
63,0.89346755,0.7582807,0.6799431,0.8695252,0.045073457
64,0.89346755,0.7582807,0.6799431,0.86754346,0.046363957
65,0.89346755,0.7582807,0.6799431,0.870915,0.046294626
66,0.89346755,0.7582807,0.6799431,0.87120247,0.048374847
67,0.89346755,0.7582807,0.6799431,0.8703709,0.046189673
68,0.89346755,0.7582807,0.6799431,0.8722956,0.04644837
69,0.89346755,0.7582807,0.6799431,0.868096,0.04305323
70,0.89346755,0.7582807,0.6799431,0.86875236,0.043494403
71,0.89346755,0.7582807,0.6799431,0.87283,0.0454171
72,0.89346755,0.7582807,0.6799431,0.87300473,0.04532276
73,0.89346755,0.7582807,0.6799431,0.8715197,0.045169428
74,0.89346755,0.7582807,0.6799431,0.87334573,0.044642817
75,0.89346755,0.7582807,0.6799431,0.87219703,0.046871584
76,0.89346755,0.7582807,0.6799431,0.869275,0.04846121
77,0.89346755,0.7582807,0.6799431,0.8685494,0.05052438
78,0.89346755,0.7582807,0.6799431,0.8677501,0.051113475
79,0.89346755,0.7582807,0.6799431,0.86849266,0.05026859
80,0.89346755,0.7582807,0.6799431,0.8697651,0.054347
81,0.89346755,0.7582807,0.6799431,0.8717155,0.05692333
82,0.89346755,0.7582807,0.6799431,0.8691459,0.05405674
83,0.89346755,0.7582807,0.6799431,0.8688975,0.05376929
84,0.89346755,0.7582807,0.6799431,0.8713649,0.054471023
85,0.89346755,0.7582807,0.6799431,0.87192404,0.051324107
86,0.89346755,0.7582807,0.6799431,0.86602485,0.04752937
87,0.89346755,0.7582807,0.6799431,0.8689341,0.04197118
88,0.89346755,0.7582807,0.6799431,0.87100273,0.044190545
89,0.89346755,0.7582807,0.6799431,0.87294066,0.042159986
90,0.89346755,0.7582807,0.6799431,0.87234926,0.041316886
91,0.89346755,0.7582807,0.6799431,0.87256944,0.043305915
92,0.89346755,0.7582807,0.6799431,0.87134135,0.042429622
93,0.89346755,0.7582807,0.6799431,0.87121046,0.04610658
94,0.89346755,0.7582807,0.6799431,0.8694004,0.04577108
95,0.89346755,0.7582807,0.6799431,0.8704414,0.04792672
96,0.89346755,0.7582807,0.6799431,0.8704444,0.04545334
97,0.89346755,0.7582807,0.6799431,0.87260157,0.043791484
98,0.89346755,0.7582807,0.6799431,0.87202615,0.046812423
99,0.89346755,0.7582807,0.6799431,0.86801577,0.04935134
100,0.89346755,0.7582807,0.6799431,0.8686343,0.049617384
101,0.89346755,0.7582807,0.6799431,0.8707368,0.04835194
102,0.89346755,0.7582807,0.6799431,0.87057,0.05003069
103,0.89346755,0.7582807,0.6799431,0.87075174,0.05196149
104,0.89346755,0.7582807,0.6799431,0.8700638,0.048686147
105,0.89346755,0.7582807,0.6799431,0.8708864,0.049079776
106,0.89346755,0.7582807,0.6799431,0.8697074,0.05026462
107,0.89346755,0.7582807,0.6799431,0.8699967,0.048396297
108,0.89346755,0.7582807,0.6799431,0.86740434,0.047800116
109,0.89346755,0.7582807,0.6799431,0.87026477,0.049537346
110,0.89346755,0.7582807,0.6799431,0.8710388,0.053194884
111,0.89346755,0.7582807,0.6799431,0.8700783,0.05295961
112,0.89346755,0.7582807,0.6799431,0.87059885,0.052104928
113,0.89346755,0.7582807,0.6799431,0.8734515,0.052413367
114,0.89346755,0.7582807,0.6799431,0.8719888,0.048644464
115,0.89346755,0.7582807,0.6799431,0.87125486,0.050619155
116,0.89346755,0.7582807,0.6799431,0.8710286,0.049470175
117,0.89346755,0.7582807,0.6799431,0.8691701,0.046017915
118,0.89346755,0.7582807,0.6799431,0.8676761,0.04966223
119,0.89346755,0.7582807,0.6799431,0.8718643,0.049850807
120,0.89346755,0.7582807,0.6799431,0.8697673,0.051202975
121,0.89346755,0.7582807,0.6799431,0.8696221,0.049287543
122,0.89346755,0.7582807,0.6799431,0.86853623,0.049187113
123,0.89346755,0.7582807,0.6799431,0.8719311,0.048213944
124,0.89346755,0.7582807,0.6799431,0.8692167,0.049523335
125,0.89346755,0.7582807,0.6799431,0.87230307,0.046304025
126,0.89346755,0.7582807,0.6799431,0.8705878,0.045016993
