gen,best_fitness,best_dice_ref,best_dice_k1,mean_fitness,mean_sigma
0,0.6009558,0.6009558,0.49221185,0.21488653,0.02
1,0.6677838,0.6677838,0.6020761,0.37178612,0.02447508
2,0.6891717,0.6891717,0.60055864,0.4424932,0.027949493
3,0.7298471,0.7298471,0.65425533,0.4700824,0.031195978
4,0.7298471,0.7298471,0.65425533,0.48290795,0.0343249
5,0.76068515,0.76068515,0.69895285,0.48806596,0.035873346
6,0.76068515,0.76068515,0.69895285,0.45740575,0.037669666
7,0.76068515,0.76068515,0.69895285,0.48419675,0.03953801
8,0.76068515,0.76068515,0.69895285,0.49748498,0.04471525
9,0.76068515,0.76068515,0.69895285,0.49017888,0.049538493
10,0.76068515,0.76068515,0.69895285,0.48049617,0.049449388
11,0.76068515,0.76068515,0.69895285,0.47590882,0.051417865
12,0.76068515,0.76068515,0.69895285,0.48934704,0.051556945
13,0.76068515,0.76068515,0.69895285,0.4994441,0.051537327
14,0.76068515,0.76068515,0.69895285,0.48861846,0.052650552
15,0.76068515,0.76068515,0.69895285,0.47779465,0.053278476
16,0.76068515,0.76068515,0.69895285,0.50123817,0.053751193
17,0.76068515,0.76068515,0.69895285,0.48554826,0.051225737
18,0.76068515,0.76068515,0.69895285,0.50051,0.049638055
19,0.76068515,0.76068515,0.69895285,0.5331368,0.046204645
20,0.76068515,0.76068515,0.69895285,0.5432856,0.04322542
21,0.78255236,0.78255236,0.70151305,0.5428174,0.043899212
22,0.82891,0.82891,0.7538678,0.5450877,0.043860197
23,0.82891,0.82891,0.7538678,0.5532901,0.042601805
24,0.82891,0.82891,0.7538678,0.5500198,0.043731168
25,0.82891,0.82891,0.7538678,0.5439035,0.043065593
26,0.82891,0.82891,0.7538678,0.5507848,0.043515235
27,0.82891,0.82891,0.7538678,0.5517144,0.04203535
28,0.8336466,0.8336466,0.76280326,0.56549156,0.041410077
29,0.8632651,0.8632651,0.81971467,0.56973135,0.04252587
30,0.8632651,0.8632651,0.81971467,0.5711533,0.043507755
31,0.8632651,0.8632651,0.81971467,0.5387138,0.048451085
32,0.8632651,0.8632651,0.81971467,0.5510692,0.04855866
33,0.8632651,0.8632651,0.81971467,0.5344616,0.051545057
34,0.8632651,0.8632651,0.81971467,0.5482477,0.051798914
35,0.8632651,0.8632651,0.81971467,0.5470758,0.050177477
36,0.8632651,0.8632651,0.81971467,0.55495024,0.04836113
37,0.8632651,0.8632651,0.81971467,0.5650433,0.045862872
38,0.8632651,0.8632651,0.81971467,0.5588648,0.045445293
39,0.8632651,0.8632651,0.81971467,0.5683427,0.04660342
40,0.88396424,0.88396424,0.8231966,0.55190396,0.04784831
