config,target,n,median,q1,q3,min,max,p_vs_baseline
baseline,tsyn,10,0.9279946800000001,0.7861197325,0.95195253,0.67835385,0.96461946,nan
baseline,test8,10,0.809427035,0.80418729,0.8175314499999999,0.796377,0.8590346,nan
raw_roulette,tsyn,10,0.85413305,0.8237612275,0.88431702,0.76348865,0.919526,0.21229383619233155
raw_roulette,test8,10,0.7990989,0.79078055,0.80354545,0.784002,0.82530177,0.025748080821108063
ranking_no_trunc,tsyn,10,0.846164775,0.781274405,0.8661216525,0.70262086,0.9258499,0.14046504815835495
ranking_no_trunc,test8,10,0.8134830200000001,0.7997682749999999,0.8222301000000001,0.792698,0.84186184,0.9097218891455553
fixed_sigma,tsyn,10,0.845950215,0.799163975,0.9120067,0.6752647,0.9314622,0.21229383619233155
fixed_sigma,test8,10,0.810720315,0.80783885,0.81688379,0.79285973,0.83001924,1.0
rmse,tsyn,10,0.9029166,0.7354373000000001,0.913773105,0.61342734,0.94676775,0.18587673236587576
rmse,test8,10,0.803489685,0.66228054,0.80702879,0.0,0.82125115,0.07566157214388704
equal_weights,tsyn,10,0.932059815,0.924902335,0.9507929749999999,0.89682066,0.969385,0.5707503880581739
equal_weights,test8,10,0.8292387400000001,0.8214946875,0.838061105,0.79761136,0.8630276,0.031209012771740218
